ModelType,Params,Precision,Recall,F1Score
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': 5},0.72187,0.72727,0.72342
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': 10},0.70845,0.71429,0.71025
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': 15},0.69360,0.69481,0.69417
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': 30},0.69134,0.69481,0.69280
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': 50},0.69691,0.70130,0.69862
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': 150},0.70845,0.71429,0.71025
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': 340},0.68831,0.68831,0.68831
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'best', 'max_depth': None},0.71593,0.72078,0.71757
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'random', 'max_depth': 5},0.74258,0.74675,0.74384
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'random', 'max_depth': 10},0.70261,0.70779,0.70443
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'random', 'max_depth': 15},0.68092,0.67532,0.67767
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'random', 'max_depth': 30},0.68831,0.68831,0.68831
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'random', 'max_depth': 50},0.70451,0.70779,0.70588
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'random', 'max_depth': 150},0.65528,0.64935,0.65189
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'random', 'max_depth': 340},0.67922,0.66883,0.67267
DecisionTreeClassifier,{'criterion': 'gini', 'splitter': 'random', 'max_depth': None},0.71938,0.71429,0.71635
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'best', 'max_depth': 5},0.78613,0.77922,0.78148
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'best', 'max_depth': 10},0.67804,0.67532,0.67657
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'best', 'max_depth': 15},0.68588,0.68182,0.68359
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'best', 'max_depth': 30},0.70664,0.70779,0.70719
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'best', 'max_depth': 50},0.69874,0.69481,0.69651
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'best', 'max_depth': 150},0.72229,0.71429,0.71721
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'best', 'max_depth': 340},0.70382,0.70130,0.70244
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'best', 'max_depth': None},0.67804,0.67532,0.67657
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'random', 'max_depth': 5},0.75150,0.75325,0.73715
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'random', 'max_depth': 10},0.74502,0.74026,0.74214
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'random', 'max_depth': 15},0.70953,0.70130,0.70436
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'random', 'max_depth': 30},0.68233,0.69481,0.68146
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'random', 'max_depth': 50},0.65373,0.64286,0.64700
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'random', 'max_depth': 150},0.69093,0.68831,0.68950
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'random', 'max_depth': 340},0.75325,0.75325,0.75325
DecisionTreeClassifier,{'criterion': 'entropy', 'splitter': 'random', 'max_depth': None},0.77036,0.77273,0.77124
LogisticRegression,{'C': 0.001, 'max_iter': 1000},0.77132,0.77273,0.76094
LogisticRegression,{'C': 0.001, 'max_iter': 2000},0.77132,0.77273,0.76094
LogisticRegression,{'C': 0.001, 'max_iter': 3000},0.77132,0.77273,0.76094
LogisticRegression,{'C': 0.001, 'max_iter': 4000},0.77132,0.77273,0.76094
LogisticRegression,{'C': 0.01, 'max_iter': 1000},0.76974,0.77273,0.76279
LogisticRegression,{'C': 0.01, 'max_iter': 2000},0.76974,0.77273,0.76279
LogisticRegression,{'C': 0.01, 'max_iter': 3000},0.76974,0.77273,0.76279
LogisticRegression,{'C': 0.01, 'max_iter': 4000},0.76974,0.77273,0.76279
LogisticRegression,{'C': 0.1, 'max_iter': 1000},0.76974,0.77273,0.76279
LogisticRegression,{'C': 0.1, 'max_iter': 2000},0.76974,0.77273,0.76279
LogisticRegression,{'C': 0.1, 'max_iter': 3000},0.76974,0.77273,0.76279
LogisticRegression,{'C': 0.1, 'max_iter': 4000},0.76974,0.77273,0.76279
LogisticRegression,{'C': 1, 'max_iter': 1000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 1, 'max_iter': 2000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 1, 'max_iter': 3000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 1, 'max_iter': 4000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 10, 'max_iter': 1000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 10, 'max_iter': 2000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 10, 'max_iter': 3000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 10, 'max_iter': 4000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 100, 'max_iter': 1000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 100, 'max_iter': 2000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 100, 'max_iter': 3000},0.77636,0.77922,0.77041
LogisticRegression,{'C': 100, 'max_iter': 4000},0.77636,0.77922,0.77041
SVC,{'C': 0.05, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.05, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.05, 'gamma': 1.0, 'kernel': 'linear', 'probability': True},0.76196,0.76623,0.75691
SVC,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.1, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.1, 'gamma': 1.0, 'kernel': 'linear', 'probability': True},0.76871,0.77273,0.76450
SVC,{'C': 0.2, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.2, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.2, 'gamma': 1.0, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.3, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.3, 'gamma': 1.0, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.7, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.8, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.8, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 0.9, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 0.9, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.25, 'gamma': 1.0, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.1, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.2, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.3, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.3, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.4, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.4, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.5, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.5, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.6, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
SVC,{'C': 0.4, 'gamma': 0.6, 'kernel': 'linear', 'probability': True},0.77636,0.77922,0.77041
SVC,{'C': 0.4, 'gamma': 0.7, 'kernel': 'rbf', 'probability': True},0.41327,0.64286,0.50311
